Supplementary Table 1. Univariable Cox regression analysis of individual TEs in four endpoints.													
coef	se	z	p	HR	HRse	HRz	HRp	HRCILL	HRCIUL	repName	repFamily	repClass	endpoint
0.361	0.165	2.195	0.028	1.435	0.236	1.842	0.065	1.039	1.982	LTR23	ERV1	LTR	pfi
0.437	0.166	2.626	0.009	1.548	0.258	2.127	0.033	1.117	2.146	LTR24C	ERV1	LTR	pfi
0.375	0.165	2.272	0.023	1.455	0.24	1.895	0.058	1.053	2.012	LTR26B	ERV1	LTR	pfi
0.422	0.166	2.545	0.011	1.526	0.253	2.076	0.038	1.102	2.112	LTR27D	ERV1	LTR	pfi
0.444	0.166	2.673	0.008	1.559	0.259	2.159	0.031	1.126	2.158	LTR29	ERV1	LTR	pfi
0.391	0.165	2.368	0.018	1.478	0.244	1.961	0.05	1.07	2.042	LTR32	ERVL	LTR	pfi
0.392	0.165	2.38	0.017	1.48	0.244	1.969	0.049	1.072	2.044	LTR33A	ERVL	LTR	pfi
0.331	0.164	2.017	0.044	1.393	0.229	1.717	0.086	1.009	1.922	LTR34	ERV1	LTR	pfi
0.595	0.169	3.523	0	1.813	0.306	2.655	0.008	1.302	2.524	LTR38A1	ERV1	LTR	pfi
0.571	0.167	3.412	0.001	1.771	0.297	2.599	0.009	1.275	2.459	LTR39	ERV1	LTR	pfi
0.42	0.166	2.528	0.011	1.521	0.253	2.065	0.039	1.099	2.106	LTR39-int	ERV1	LTR	pfi
0.435	0.165	2.629	0.009	1.544	0.255	2.132	0.033	1.117	2.136	LTR41	ERVL	LTR	pfi
0.386	0.166	2.327	0.02	1.471	0.244	1.931	0.054	1.063	2.037	LTR47B3	ERVL	LTR	pfi
0.526	0.167	3.151	0.002	1.692	0.283	2.45	0.014	1.22	2.348	LTR5_Hs	ERVK	LTR	pfi
0.396	0.165	2.399	0.016	1.486	0.245	1.981	0.048	1.075	2.054	LTR52	ERVL	LTR	pfi
0.334	0.165	2.021	0.043	1.397	0.231	1.718	0.086	1.01	1.932	LTR55	ERVL?	LTR	pfi
0.353	0.165	2.14	0.032	1.424	0.235	1.802	0.071	1.03	1.968	LTR56	ERV1	LTR	pfi
0.441	0.167	2.647	0.008	1.554	0.259	2.141	0.032	1.121	2.155	LTR59	ERV1	LTR	pfi
0.637	0.168	3.783	0	1.89	0.318	2.798	0.005	1.359	2.628	LTR5B	ERVK	LTR	pfi
0.33	0.164	2.007	0.045	1.39	0.228	1.71	0.087	1.008	1.918	LTR6B	ERV1	LTR	pfi
0.354	0.165	2.151	0.031	1.425	0.235	1.812	0.07	1.032	1.968	LTR7	ERV1	LTR	pfi
0.339	0.165	2.062	0.039	1.404	0.231	1.749	0.08	1.017	1.939	LTR75	ERVL	LTR	pfi
0.44	0.165	2.661	0.008	1.553	0.257	2.153	0.031	1.123	2.147	LTR80A	ERVL	LTR	pfi
0.337	0.165	2.042	0.041	1.4	0.231	1.733	0.083	1.014	1.935	LTR85b	Gypsy?	LTR	pfi
0.458	0.168	2.728	0.006	1.582	0.266	2.188	0.029	1.138	2.198	LTR85c	Gypsy?	LTR	pfi
0.34	0.164	2.069	0.039	1.405	0.231	1.754	0.079	1.018	1.94	LTR88a	Gypsy?	LTR	pfi
0.337	0.165	2.042	0.041	1.401	0.231	1.733	0.083	1.014	1.936	LTR88b	Gypsy?	LTR	pfi
0.323	0.164	1.966	0.049	1.381	0.227	1.68	0.093	1.001	1.906	LTR8A	ERV1	LTR	pfi
0.34	0.165	2.054	0.04	1.405	0.232	1.741	0.082	1.016	1.943	MamGypLTR2b	Gypsy	LTR	pfi
0.338	0.165	2.048	0.041	1.401	0.231	1.738	0.082	1.015	1.936	MamGypLTR2c	Gypsy	LTR	pfi
0.485	0.166	2.918	0.004	1.623	0.27	2.312	0.021	1.172	2.248	MamRep137	TcMar-Tigger	DNA	pfi
0.398	0.166	2.391	0.017	1.489	0.248	1.973	0.049	1.074	2.064	MER101	ERV1	LTR	pfi
0.383	0.166	2.315	0.021	1.467	0.243	1.923	0.054	1.061	2.029	MER101B	ERV1	LTR	pfi
0.361	0.165	2.189	0.029	1.434	0.236	1.838	0.066	1.039	1.981	MER110	ERV1	LTR	pfi
0.426	0.166	2.56	0.01	1.531	0.255	2.085	0.037	1.105	2.121	MER110A	ERV1	LTR	pfi
0.524	0.166	3.147	0.002	1.689	0.281	2.449	0.014	1.218	2.34	MER11D	ERVK	LTR	pfi
0.352	0.166	2.121	0.034	1.422	0.236	1.788	0.074	1.027	1.969	MER130	DNA	DNA	pfi
0.567	0.166	3.416	0.001	1.764	0.293	2.607	0.009	1.274	2.442	MER1B	hAT-Charlie	DNA	pfi
0.392	0.164	2.381	0.017	1.479	0.243	1.97	0.049	1.072	2.042	MER21-int	ERVL	LTR	pfi
0.464	0.166	2.789	0.005	1.59	0.264	2.231	0.026	1.148	2.202	MER21C	ERVL	LTR	pfi
0.35	0.165	2.127	0.033	1.419	0.234	1.795	0.073	1.028	1.959	MER31-int	ERV1	LTR	pfi
0.342	0.165	2.074	0.038	1.408	0.232	1.757	0.079	1.019	1.944	MER31A	ERV1	LTR	pfi
0.352	0.165	2.136	0.033	1.422	0.235	1.8	0.072	1.029	1.965	MER33	hAT-Charlie	DNA	pfi
0.332	0.165	2.015	0.044	1.393	0.229	1.715	0.086	1.009	1.924	MER34	ERV1	LTR	pfi
0.328	0.164	2.002	0.045	1.388	0.228	1.707	0.088	1.007	1.914	MER34-int	ERV1	LTR	pfi
0.456	0.167	2.732	0.006	1.577	0.263	2.194	0.028	1.137	2.187	MER34C2	ERV1	LTR	pfi
0.359	0.166	2.167	0.03	1.431	0.237	1.821	0.069	1.035	1.98	MER39	ERV1	LTR	pfi
0.375	0.166	2.26	0.024	1.455	0.242	1.884	0.06	1.051	2.015	MER44D	TcMar-Tigger	DNA	pfi
0.414	0.165	2.508	0.012	1.512	0.249	2.054	0.04	1.095	2.089	MER48	ERV1	LTR	pfi
0.408	0.166	2.467	0.014	1.504	0.249	2.025	0.043	1.088	2.081	MER4A1	ERV1	LTR	pfi
0.46	0.166	2.766	0.006	1.584	0.263	2.217	0.027	1.143	2.194	MER52-int	ERV1	LTR	pfi
0.359	0.165	2.178	0.029	1.432	0.236	1.83	0.067	1.037	1.978	MER52C	ERV1	LTR	pfi
0.664	0.171	3.875	0	1.942	0.333	2.832	0.005	1.388	2.717	MER57A1	ERV1	LTR	pfi
0.332	0.165	2.017	0.044	1.394	0.229	1.717	0.086	1.009	1.924	MER57B2	ERV1	LTR	pfi
0.377	0.164	2.293	0.022	1.458	0.24	1.91	0.056	1.056	2.011	MER57D	ERV1	LTR	pfi
0.332	0.165	2.012	0.044	1.394	0.23	1.712	0.087	1.009	1.927	MER57E1	ERV1	LTR	pfi
-0.335	0.165	-2.034	0.042	0.715	0.118	-2.417	0.016	0.518	0.988	MER57F	ERV1	LTR	pfi
0.393	0.165	2.378	0.017	1.482	0.245	1.966	0.049	1.072	2.049	MER5A1	hAT-Charlie	DNA	pfi
0.328	0.165	1.991	0.046	1.388	0.229	1.697	0.09	1.005	1.918	MER5C	hAT-Charlie	DNA	pfi
0.438	0.166	2.635	0.008	1.549	0.257	2.134	0.033	1.119	2.145	MER61-int	ERV1	LTR	pfi
0.48	0.167	2.882	0.004	1.617	0.27	2.288	0.022	1.166	2.241	MER61C	ERV1	LTR	pfi
0.323	0.164	1.971	0.049	1.381	0.226	1.685	0.092	1.002	1.904	MER65B	ERV1	LTR	pfi
0.375	0.165	2.271	0.023	1.454	0.24	1.894	0.058	1.053	2.009	MER65C	ERV1	LTR	pfi
0.359	0.164	2.187	0.029	1.432	0.235	1.837	0.066	1.038	1.977	MER68C	ERVL	LTR	pfi
0.383	0.166	2.307	0.021	1.467	0.243	1.917	0.055	1.059	2.03	MER74C	ERVL	LTR	pfi
0.438	0.165	2.65	0.008	1.55	0.256	2.146	0.032	1.121	2.143	MER81	hAT-Blackjack	DNA	pfi
0.615	0.168	3.661	0	1.85	0.311	2.734	0.006	1.331	2.571	MER83B	ERV1	LTR	pfi
0.341	0.164	2.071	0.038	1.406	0.231	1.755	0.079	1.018	1.941	MER87B	ERV1	LTR	pfi
0.506	0.166	3.047	0.002	1.659	0.276	2.391	0.017	1.198	2.298	MER91B	hAT-Tip100	DNA	pfi
0.594	0.168	3.542	0	1.812	0.304	2.671	0.008	1.304	2.517	MER91C	hAT-Tip100	DNA	pfi
0.323	0.164	1.971	0.049	1.381	0.226	1.684	0.092	1.002	1.904	MER92B	ERV1	LTR	pfi
0.337	0.165	2.047	0.041	1.401	0.231	1.738	0.082	1.014	1.934	MER96	hAT-Tip100	DNA	pfi
0.374	0.166	2.255	0.024	1.454	0.241	1.881	0.06	1.05	2.012	MER97d	hAT-Tip100	DNA	pfi
0.405	0.165	2.458	0.014	1.499	0.247	2.022	0.043	1.085	2.069	MER9a3	ERVK	LTR	pfi
0.466	0.165	2.823	0.005	1.594	0.263	2.256	0.024	1.153	2.203	MIR1_Amn	MIR	SINE	pfi
0.394	0.166	2.375	0.018	1.483	0.246	1.963	0.05	1.071	2.053	MLT1A0-int	ERVL-MaLR	LTR	pfi
0.543	0.167	3.245	0.001	1.721	0.288	2.504	0.012	1.24	2.389	MLT1A1-int	ERVL-MaLR	LTR	pfi
0.432	0.166	2.6	0.009	1.54	0.256	2.112	0.035	1.112	2.132	MLT1B	ERVL-MaLR	LTR	pfi
0.468	0.166	2.809	0.005	1.596	0.266	2.244	0.025	1.152	2.212	MLT1D	ERVL-MaLR	LTR	pfi
0.363	0.165	2.197	0.028	1.437	0.237	1.843	0.065	1.04	1.986	MLT1E2	ERVL-MaLR	LTR	pfi
0.513	0.167	3.078	0.002	1.67	0.278	2.408	0.016	1.205	2.314	MLT1G1	ERVL-MaLR	LTR	pfi
0.329	0.165	1.998	0.046	1.39	0.229	1.702	0.089	1.006	1.92	MLT1H	ERVL-MaLR	LTR	pfi
0.428	0.165	2.599	0.009	1.535	0.253	2.114	0.035	1.111	2.12	MLT1H1	ERVL-MaLR	LTR	pfi
0.358	0.165	2.17	0.03	1.43	0.236	1.824	0.068	1.035	1.975	MLT1H1-int	ERVL-MaLR	LTR	pfi
0.353	0.165	2.137	0.033	1.423	0.235	1.8	0.072	1.03	1.968	MLT1H2	ERVL-MaLR	LTR	pfi
0.412	0.166	2.481	0.013	1.509	0.25	2.034	0.042	1.09	2.09	MLT1K	ERVL-MaLR	LTR	pfi
0.467	0.166	2.811	0.005	1.594	0.265	2.246	0.025	1.152	2.207	MLT1O	ERVL-MaLR	LTR	pfi
0.356	0.164	2.166	0.03	1.427	0.235	1.823	0.068	1.034	1.97	MLT2B4	ERVL	LTR	pfi
0.344	0.165	2.085	0.037	1.411	0.233	1.764	0.078	1.021	1.951	MLT2C1	ERVL	LTR	pfi
0.374	0.166	2.253	0.024	1.454	0.241	1.88	0.06	1.05	2.013	MLT2D	ERVL	LTR	pfi
0.37	0.165	2.242	0.025	1.447	0.239	1.875	0.061	1.048	2	MST-int	ERVL-MaLR	LTR	pfi
0.332	0.165	2.02	0.043	1.394	0.229	1.718	0.086	1.01	1.925	MSTA	ERVL-MaLR	LTR	pfi
0.586	0.167	3.507	0	1.797	0.3	2.654	0.008	1.295	2.493	MSTA-int	ERVL-MaLR	LTR	pfi
0.361	0.165	2.193	0.028	1.435	0.237	1.84	0.066	1.039	1.982	MSTB	ERVL-MaLR	LTR	pfi
0.393	0.166	2.369	0.018	1.482	0.246	1.958	0.05	1.07	2.052	MSTB1	ERVL-MaLR	LTR	pfi
0.331	0.164	2.014	0.044	1.392	0.229	1.714	0.086	1.009	1.921	MSTB1-int	ERVL-MaLR	LTR	pfi
0.417	0.166	2.505	0.012	1.517	0.252	2.049	0.04	1.095	2.102	Ricksha_b	MULE-MuDR	DNA	pfi
0.339	0.165	2.059	0.039	1.404	0.231	1.746	0.081	1.016	1.939	SVA_A	SVA	Retroposon	pfi
0.459	0.165	2.78	0.005	1.583	0.261	2.229	0.026	1.145	2.188	SVA_D	SVA	Retroposon	pfi
0.329	0.164	2.008	0.045	1.39	0.228	1.711	0.087	1.008	1.916	SVA_E	SVA	Retroposon	pfi
0.339	0.164	2.065	0.039	1.404	0.23	1.752	0.08	1.017	1.937	THE1-int	ERVL-MaLR	LTR	pfi
0.406	0.166	2.451	0.014	1.501	0.248	2.015	0.044	1.085	2.076	THE1B-int	ERVL-MaLR	LTR	pfi
0.326	0.166	1.968	0.049	1.385	0.23	1.679	0.093	1.001	1.917	THE1D	ERVL-MaLR	LTR	pfi
0.391	0.166	2.362	0.018	1.479	0.245	1.955	0.051	1.069	2.046	THE1D-int	ERVL-MaLR	LTR	pfi
0.383	0.165	2.319	0.02	1.467	0.242	1.926	0.054	1.061	2.027	Tigger11a	TcMar-Tigger	DNA	pfi
0.35	0.166	2.108	0.035	1.42	0.236	1.779	0.075	1.025	1.966	Tigger12A	TcMar-Tigger	DNA	pfi
0.39	0.165	2.364	0.018	1.477	0.244	1.958	0.05	1.069	2.042	Tigger3c	TcMar-Tigger	DNA	pfi
0.345	0.165	2.089	0.037	1.412	0.233	1.767	0.077	1.022	1.951	Tigger9b	TcMar-Tigger	DNA	pfi
-0.338	0.169	-1.999	0.046	0.713	0.121	-2.379	0.017	0.512	0.993	UCON89	hAT?	DNA	pfi
0.525	0.168	3.128	0.002	1.69	0.283	2.434	0.015	1.216	2.347	X7A_LINE	CR1	LINE	pfi
